Nome Produto: ;Smartphone Moto G4 Play DTV Colors XT1603 Preto com TV, 16GB, Tela de 5'', Dual Chip, Android 6.0, 4G, Câmera 8MP, Processador Quad-Core e 2GB de RAM
Preco: ;749,00
RAM;2GB
Sistema Operacional;Android 6.0 Marshmallow
Tipo;Barra
Tecnologia;GSM
;3G
;4G
Slot para cartão;MicroSD até 128GB
Cartão incluso;Não
Rádio FM;Sim
MP3 player;Sim
Bluetooth;Sim
Bluetooth Estéreo (ouça suas músicas em um dispositivo Bluetooth);Não
Wi-Fi;Sim
Suporte a GPS;Sim
Mensagens;SMS
;MMS
;E-mail
Processador;Qualcomm Snapdragon 410 (MSM8916) Quad Core de 1.2 GHz
Sintonizador de TV;Digital
Som;Rádio FM
;MP3 Player
Resolução da câmera;Traseira 8MP e Frontal 5MP
Cor;Preto
Grava vídeo;Sim
Memória interna;16GB Total sendo uma parte usada para o sistema operacional e aplicativos pré-instalados
Características Gerais;- Alta performance com 2GB RAM - Câmera de 8 MP com Flash LED e frontal de 5 MP com Flash da tela - Celular com Tv Digital* - Bateria de longa duração*** - Experiência do Android™ puro - Memória de 16GB com expansão até 128GB - 4G com Dual Chip Inteligente**
Quadriband GSM;Sim
Frequências;GSM 850/900/1800/1900 MHz
Câmera traseira;Sim
Câmera frontal;Sim
Tipo do Chip;Micro SIM
Dual Chip;sim
Conectividade;Bluetooth 4.1, Wi-Fi 802.11 a/b/g/n
Resolução do visor/display (pixels);1280 x 720 (HD)
Tamanho do visor (cm);12,7
Conteúdo da Embalagem;- Smartphone Moto G4 Play XT1603 - Kit de manuais - Fone de ouvido estéreo - Cabo para sincronismo - Carregador de parede - Duas capas traseiras (Preta e Cabernet) - Antena de TV digital móvel
Garantia;12 meses
Observações;1.Este é um aparelho desbloqueado e está habilitado para que funcione com operadoras nacionais (Claro, Oi, TIM, Vivo, Porto Seguro Conecta, Sercomtel Celular, Algar Celular), com Tecnologias GSM, 3G e 4G (LTE). Para utilizar este celular é preciso ter um chip (vendido separadamente). 2.Este é um celular Dual Chip, ou seja, funciona com dois chips no mesmo aparelho. 3.A capacidade de memória interna ROM ( Read-Only Memory ) disponível ao usuário é menor que a capacidade especificada (16GB), devido ao sistema operacional e às aplicações padrões que já vem instaladas no aparelho, ocupando parte da memória. A capacidade disponível pode variar ao atualizar o aparelho. * Depende de disponibilidade de sinal de TV digital. O pacote inclui uma antena que pode ser utilizada para melhorar a recepção de sinal. Fones de ouvido com fio podem ser utilizados para a mesma finalidade. ** A funcionalidade Dual Chip da Motorola sugere ou seleciona automaticamente um chip (SIM) para ligação de voz com base na operadora de seu contato ou histórico de chamadas. O chip selecionado para conexão de dados, ou primário, é automaticamente definido como 3G/4G, de forma a usar a tecnologia mais rápida de conexão de dados, independente do slot em que o SIM card esteja inserido. O chip sem conexão de dados, ou secundário, é automaticamente definido para 2G/3G para chamadas de voz. A cobertura e qualidade do sinal dependem de sua área e da operadora provedora dos serviços. *** Todas as informações referentes à duração da bateria são aproximadas e se baseiam em um perfil médio padrão de uso misto. O perfil de uso misto se baseia em dispositivos Motorola, com um cartão SIM, nas principais redes 4G LTE com excelente cobertura e inclui tempos de uso e espera. Configurações padrão de fábrica são aplicadas ao perfil misto para estimativa do desempenho debateria. O desempenho real pode variar dependendo de muitos fatores, incluindo intensidade do sinal, configuração da rede, idade da bateria, temperatura de operação, recursos selecionados, configurações do dispositivo, serviços de voz, dados e outros padrões de uso de aplicativos. ATENÇÃO: A rede 4G no Brasil é limitada. Consulte uma operadora de telefonia móvel para obter informações de pacotes de dados e cidades de cobertura.
Altura;14,39 Centimetros
Largura;7,20 Centimetros
Profundidade;9,00 Milimetros
Peso;137,00 Gramas
Telefone:;4002-1244 (capitais e regiões metropolitanas) ou 0800 773 1244 demais localidades
Nome Produto: ;Smartphone Samsung Galaxy J7 Prime Duos Dourado com 32GB, Tela 5.5", Dual Chip, 4G, Câmera 13MP, Leitor Biométrico, Android 6.0 e Processador OctaCore
Preco: ;1.249,00
RAM;3GB
Sistema Operacional;Android 6.0 Marshmallow
Tipo;Barra
Tecnologia;GSM
;3G
;4G
Slot para cartão;MicroSD até 256GB
Cartão incluso;Não
Rádio FM;Sim
MP3 player;Sim
Bluetooth;Sim
Bluetooth Estéreo (ouça suas músicas em um dispositivo Bluetooth);Não
Wi-Fi;Sim
Suporte a GPS;Sim
Mensagens;SMS
;MMS
;E-mail
Processador;Octa-Core de 1.6GHz
Som;Rádio FM
;MP3 Player
Resolução da câmera;Traseira 13MP e Frontal 8MP
Cor;Dourado
Grava vídeo;Sim
Memória interna;32 Total sendo uma parte usada para o sistema operacional e aplicativos pré-instalados (Software e aplicativos pré-instalados usam uma quantidade considerável de espaço de memória interna.)
Características Gerais;- Design sofisticado com corpo de metal de alta resistência - Maior segurança e praticidade com o Leitor de Impressão Digital - Rápido e potente com processador Octa Core, 3GB de RAM e 32GB de memória interna - Fotos claras com cores vivas com a câmera traseira 13MP f1.9 e selfies incríveis com a frontal de 8MP f1.9 com flash LED - Tela de 5.5" Full HD (1920 x 1080) e tecnologia Gorilla Glass
Quadriband GSM;Sim
Frequências;GSM 850/900/1800/1900 MHz
Câmera traseira;Sim
Câmera frontal;Sim
Tipo do Chip;Nano SIM
Dual Chip;sim
Conectividade;USB 2.0, Bluetooth 4.1, Wi-Fi 802.11 b/g/n
Resolução do visor/display (pixels);1920 x 1080 (FHD)
Tamanho do visor (cm);13,9
Conteúdo da Embalagem;- Aparelho Smartphone Samsung Galaxy J7 Prime Duos SM-G610M - Carregador - Fone de ouvido - Cabo de dados
Garantia;12 meses
Observações;1.Este é um aparelho desbloqueado e está habilitado para que funcione com operadoras nacionais (Claro, Oi, TIM, Vivo, Porto Seguro Conecta, Sercomtel Celular, Algar Celular), com Tecnologias GSM, 3G e 4G (LTE). Para utilizar este celular é preciso ter um chip (vendido separadamente). 2.Este é um celular Dual Chip, ou seja, funciona com dois chips no mesmo aparelho. 3.O desempenho da bateria pode variar dependendo de diversos fatores como: configuração do celular, da rede, potência do sinal e temperatura de operação. 4. A capacidade de memória interna ROM (Read-Only Memory) disponível ao usuário é menor que a capacidade especificada (32GB), devido ao sistema operacional e às aplicações padrões que já vem instaladas no aparelho, ocupando parte da memória. A capacidade disponível pode variar ao atualizar o aparelho. ATENÇÃO: A rede 4G no Brasil é limitada. Consulte uma operadora de telefonia móvel para obter informações de pacotes de dados e cidades de cobertura.
Altura;15,15 Centimetros
Largura;7,50 Centimetros
Profundidade;8,10 Milimetros
Peso;167,00 Gramas
Nome Produto: ;Smartphone Lenovo Vibe B Preto com 8GB, Tela 4.5", Câmera 5MP, 4G, Dual Chip, Android 6.0, Processador Quad-Core + Capa Extra Dourada
Preco: ;399,00
RAM;1GB
Sistema Operacional;Android 6.0 Marshmallow
Tipo;Barra
Tecnologia;GSM
;3G
;4G
Slot para cartão;Micro SD até 32GB
Cartão incluso;Não
Rádio FM;Sim
MP3 player;Sim
Bluetooth;Sim
Bluetooth Estéreo (ouça suas músicas em um dispositivo Bluetooth);Não
Wi-Fi;Sim
Suporte a GPS;Sim
Mensagens;SMS
;MMS
;E-mail
Processador;Mediatek MT6735 Quad-Core de 1.0 GHz
Som;Rádio FM
;MP3 Player
Resolução da câmera;Traseira 5MP e Frontal 2MP
Cor;Preto
Grava vídeo;Sim
Memória interna;8GB Total sendo uma parte usada para o sistema operacional e aplicativos pré-instalados (Software e aplicativos pré-instalados usam uma quantidade considerável de espaço de memória interna.)
Características Gerais;- Velocidade 4G - Android™ Marshmallow 6.0 - Bateria de longa duração - Câmera de 5MP com Flash Led e frontal de 2MP com V-Selfie - Design compacto com duas opções de capa + película protetora - 8 GB de memória interna + 1 GB RAM. - Dual chips - Processador quad-core. - Tela de 4.5”
Quadriband GSM;Sim
Frequências;GSM 850/900/1800/1900 MHz
Câmera traseira;Sim
Câmera frontal;Sim
Tipo do Chip;Micro SIM
Dual Chip;sim
Conectividade;USB, Bluetooth, Wi-Fi 802.11 b/g/n
Resolução do visor/display (pixels);854x480
Tamanho do visor (cm);11,4
Conteúdo da Embalagem;- Smartphone Lenovo Vibe B - Preto - Bateria - kit de manuais - Fone de ouvido - Cabo para sincronismo - Carregador - Capa traseira Extra dourada - Película protetora de tela
Garantia;12 meses
Observações;1.Este é um aparelho desbloqueado e está habilitado para que funcione com operadoras nacionais (Claro, Oi, TIM, Vivo, Porto Seguro Conecta, Sercomtel Celular, Algar Celular), com Tecnologias GSM, 3G e 4G (LTE). Para utilizar este celular é preciso ter um chip (vendido separadamente). 2.Este é um celular Dual Chip, ou seja, funciona com dois chips no mesmo aparelho. 3. O desempenho da bateria pode variar dependendo de diversos fatores como: configuração do celular, da rede, potência do sinal e temperatura de operação. 4.Algumas funções, funcionalidades e especificações do produto podem depender de rede para funcionar e estar sujeitas a termos, condições e taxas adicionais. Todos os tópicos estão sujeitos a alterações sem aviso prévio. O nome LENOVO é uma marca comercial registrada da Lenovo. Android, Google e Google Play são marcas comerciais da Google, Inc. Todas as demais marcas comerciais registradas pertencem aos seus respectivos proprietários. 5.A memória interna corresponde à memória total não formatada. A capacidade disponível ao usuário é menor que a capacidade especificada (8GB), pois depende da versão do sistema operacional, aplicações, conteúdos e dados instalados. A expansão da memória pode ser feita através de um cartão de memória padrão microSD, não incluso. O sistema operacional pode ter limitações quanto à instalação de aplicativos, gravação ou cópia de conteúdos no cartão de memória. 6.ATENÇÃO: A rede 4G no Brasil é limitada. Consulte uma operadora de telefonia móvel para obter informações de pacotes de dados e cidades de cobertura.
Altura;13,40 Centimetros
Largura;6,60 Centimetros
Profundidade;9,90 Milimetros
Peso;147,00 Gramas
Telefone:;(11) 3140-0500 São Paulo e Grande São Paulo 0800-885-0500 Demais localidades
Nome Produto: ;Smartphone Motorola Moto G5 XT1672 Ouro com 32GB, Tela de 5'', Dual Chip, Android 7.0, 4G, Câmera 13MP, Processador Octa-Core e 2GB de RAM
Preco: ;999,00
RAM;2GB
Sistema Operacional;Android 7.0 (Nougat)
Tipo;Barra
Tecnologia;GSM
;3G
;4G
Slot para cartão;MicroSD até 128GB
Cartão incluso;Não
Rádio FM;Sim
MP3 player;Sim
Bluetooth;Sim
Bluetooth Estéreo (ouça suas músicas em um dispositivo Bluetooth);Não
Wi-Fi;Sim
Suporte a GPS;Sim
Mensagens;SMS
;MMS
;E-mail
Processador;Snapdragon 430 (MSM8937) Octa-Core (Quad-core 1.4 GHz + Quad-core 1.1 GHz)
Som;Rádio FM
;MP3 Player
Resolução da câmera;Traseira 13MP e Frontal 5MP
Cor;Dourado
Grava vídeo;Sim
Memória interna;32GB Total sendo uma parte usada para o sistema operacional e aplicativos pré-instalados
Características Gerais;- Acabamento metálico - Sensor de impressão digital multifunção - Câmera traseira com Identificação automática de códigos QR, barras e cartão de visita, abertura f/2.0 e Flash LED - Câmera frontal com Lente grande angular de 85 graus, mais amigos na sua selfie, abertura f/2.2 - Resistente a respingos d'água* - Bateria 2800 mAh de carregamento rápido que dura o dia todo***
Quadriband GSM;Sim
Frequências;GSM 850/900/1800/1900 MHz
Câmera traseira;Sim
Câmera frontal;Sim
Tipo do Chip;Nano SIM
