Nome Produto: ;Smartphone Samsung Galaxy A5 2017 Duos A520F Desbloqueado Preto
Preco: ;R$ 1.399,90
Plataforma;Android
Versão;Android 6.0.1 Marshmallow
FPS da Gravação;30 Fps
Tamanho;5.2"
Resolução;1920 x 1080
Tipo;Super AMOLED
Número de Cores;16 milhões de cores
Memória Interna;32 GB
Memória RAM;3 GB
Memória Expansível;256 GB
Câmera;16 Megapixels
Resolução;4608 x 3456 pixels
Recursos;Autofocus; Detecção Facial; Estabilização de Imagem; HDR; Touch Focus; Zoom; Filtros
Câmera Frontal;16 Megapixels
Rede;4G; 3G; 2G
Conectividade;Bluetooth 4.2; Wi-Fi 802.11 a/b/g/n/ac; NFC; USB 2.0; GPS; A-GPS; GLONASS; Beidou
Tipo;Resistente à Água e Poeira (IP68)
Profundidade;1,5 metros na água, por 30 minutos
Capacidade;3.000 mAh
Removível;Não
Tipo;Íons de Lítio (Li-Ion)
Carregamento Sem Fio;Não
Sensores;Acelerômetro; Bússola; Giroscópio; Barômetro; Proximidade; Impressão Digital; Geo Magnético; Efeito Hall; Luz RGB; Luminosidade
TV Integrada;Não
Núcleos;Octa Core
Velocidade (Clock);1.9 GHz
Chips;2 Chips
Tipo do Chip;Nano SIM Card
Altura (cm);14.6
Espessura (cm);0.7
Largura (cm);7.1
Peso (g);157.00
Marca;Samsung
Modelo;SM-A520F
Nome Produto: ;Smartphone Samsung Galaxy J5 Duos J500M Desbloqueado Preto
Preco: ;R$ 639,90
Plataforma;Android
Versão;Android 5.1 Lollipop
Resolução;1080p (16:9)
FPS da Gravação;30fps
Tamanho;5"
Resolução;1280 x 720
Tipo;Super AMOLED
Número de Cores;16 milhões de cores
Memória Interna;16 GB
Memória RAM;1.5 GB
Memória Expansível;128 GB
Câmera;13 Megapixels
Resolução;4128 x 3096 pixels
Recursos;Autofocus; Flash
Câmera Frontal;5 Megapixels
Resolução;5 MP com Flash
Rede;4G; 3G; 2G
Conectividade;Bluetooth 4.1; Wi-Fi 802.11 b/g/n; USB 2.0 (Micro-USB); Conexão P2 (3.5mm); GPS; A-GPS
Capacidade;2.600 mAh
Núcleos;Quad Core
Velocidade (Clock);1.2 GHz
Modelo;Qualcomm MSM8916 Snapdragon 410
GPU;Adreno 306
Chips;2 Chips
Tipo do Chip;Micro SIM Card
Altura (cm);14.2
Espessura (cm);0.8
Largura (cm);7.2
Peso (g);146.00
Marca;Samsung
Modelo;J500M
Nome Produto: ;Smartphone Samsung Galaxy J7 2016 Metal J710M Desbloqueado Dourado
Preco: ;R$ 799,90
Plataforma;Android
Versão;Android 6.0 Marshmallow
Resolução;1080p (16:9)
FPS da Gravação;30 fps
Tamanho;5.5"
Resolução;1280 x 720
Tipo;Super AMOLED
Número de Cores;16 milhões de cores
Memória Interna;16 GB
Memória RAM;2 GB
Memória Expansível;128 GB
Câmera;13 Megapixels
Recursos;Autofocus; Flash
Câmera Frontal;5 Megapixels
Rede;4G; 3G; 2G
Conectividade;Bluetooth 4.1; Wi-Fi 802.11 b/g/n; NFC; USB 2.0 (Micro-USB); Conexão P2 (3.5mm); GPS; GLONASS; Beidou
Capacidade;3.300 mAh
Removível;Sim
Tipo;Íons de Lítio (Li-Ion)
Núcleos;Octa Core
Velocidade (Clock);1.6 GHz
Chips;2 Chips
Tipo do Chip;Micro SIM Card
Altura (cm);15.1
Espessura (cm);0.8
Largura (cm);7.6
Peso (g);170.00
Marca;Samsung
Modelo;J710M
Nome Produto: ;Smartphone Samsung Galaxy J2 Prime TV G532MT Desbloqueado Rosa
Preco: ;R$ 519,90
Plataforma;Android
Versão;Android 6.0 Marshmallow
Resolução;720p (16:9)
FPS da Gravação;30 Fps
Tamanho;5"
Resolução;960 x 540
Tipo;TFT; LCD
Número de Cores;16 milhões de cores
Memória Interna;8 GB
Memória RAM;1.5 GB
Memória Expansível;256 GB
Câmera;8 Megapixels
Recursos;Autofocus; Flash
Câmera Frontal;5 Megapixels
Rede;4G; 3G; 2G
Conectividade;Bluetooth 4.2; Wi-Fi 802.11 b/g/n; USB 2.0 (Micro-USB); Conexão P2 (3.5mm); GPS; GLONASS
Capacidade;2.600 mAh
Removível;Sim
Tipo;Íons de Lítio (Li-Ion)
Sensores;Acelerômetro; Proximidade
Núcleos;Quad Core
Velocidade (Clock);1.4 GHz
Chips;2 Chips
Tipo do Chip;Micro SIM Card
Altura (cm);14.5
Espessura (cm);0.9
Largura (cm);7.2
Peso (g);160.00
Marca;Samsung
Modelo;G532MT
Nome Produto: ;Smartphone Samsung Galaxy A7 2017 Duos A720F Desbloqueado Dourado
Preco: ;R$ 1.599,90
Plataforma;Android
Versão;Android 6.0 Marshmallow
FPS da Gravação;30 Fps
Tamanho;5.7"
Resolução;1920 x 1080
Tipo;Super AMOLED
Número de Cores;16 milhões de cores
Memória Interna;32 GB
Memória RAM;3 GB
Memória Expansível;256 GB
Câmera;16 Megapixels
Resolução;3840 x 2160 pixels
Recursos;Autofocus; Detecção Facial; Estabilização de Imagem; Flash; HDR; Zoom; Filtros
Câmera Frontal;16 Megapixels
Rede;4G; 3G; 2G
Conectividade;Bluetooth 4.2; Wi-Fi 802.11 a/b/g/n/ac; NFC; USB 2.0; GPS; A-GPS; GLONASS; Beidou
Tipo;Resistente à Água e Poeira (IP68)
Profundidade;1,5 Metros na água, por 30 minutos
Capacidade;3.600 mAh
Removível;Não
Tipo;Íons de Lítio (Li-Ion)
Carregamento Sem Fio;Não
Sensores;Acelerômetro; Giroscópio; Proximidade; Barômetro; Proximidade; Impressão Digital; Geo Magnético; Efeito Hall; Luz RGB
TV Integrada;Não
Núcleos;Octa Core
Velocidade (Clock);1.9 GHz
Chips;2 Chips
Tipo do Chip;Nano SIM Card
Altura (cm);15.6
Espessura (cm);0.7
Largura (cm);7.7
Peso (g);186.00
Marca;Samsung
Modelo;SM-A720F
Nome Produto: ;Smartphone LG K4 Dual 4G K130F Desbloqueado Azul Índigo
Preco: ;R$ 379,90
Plataforma;Android
Versão;Android 5.1 Lollipop
Resolução;720p (16:9)
Tamanho;4.5"
Resolução;854 x 480
Tipo;FWVGA
Número de Cores;16 milhões de cores
Memória Interna;8 GB
Memória RAM;1 GB
Memória Expansível;32 GB
Câmera;5 Megapixels
Recursos;Autofocus; Detecção de Sorriso; Flash; Enquadramento; Temporizador
Câmera Frontal;2 Megapixels
Recursos;Autofocus; Detecção de Sorriso; Virtual Flash; Foto Espelhada; Temporizador
Rede;4G; 3G; 2G
Conectividade;Bluetooth 4.0; Wi-Fi 802.11 b/g/n; USB; A-GPS
Capacidade;1.860 mAh
Removível;Sim
Tipo;Íons de Lítio (Li-Ion)
Sensores;Acelerômetro
Núcleos;Quad Core
Velocidade (Clock);1 GHz
Modelo;Mediatek MT6735M
Chips;2 Chips
Tipo do Chip;Micro SIM Card
Altura (cm);13.2
Espessura (cm);0.9
Largura (cm);6.6
Peso (g);131.60
Marca;LG
Modelo;K130F
Nome Produto: ;Smartphone Samsung Galaxy J7 Prime 4G G610M Desbloqueado Dourado
Preco: ;R$ 1.059,90
Plataforma;Android
Versão;Android 6.0.1 Marshmallow
Resolução;1080p (16:9)
FPS da Gravação;30 Fps
Tamanho;5.5"
Resolução;1920 x 1080
Tipo;TFT; LCD
Número de Cores;16 milhões de cores
Memória Interna;32 GB
Memória RAM;3 GB
Memória Expansível;256 GB
Câmera;13 Megapixels
Recursos;Autofocus; Flash
Câmera Frontal;8 Megapixels
Rede;4G; 3G; 2G
Conectividade;Bluetooth 4.1; Wi-Fi 802.11 b/g/n; USB 2.0 (Micro-USB); Conexão P2 (3.5mm); GPS; GLONASS; Beidou
Capacidade;3.300 mAh
Removível;Não
Tipo;Íons de Lítio (Li-Ion)
Sensores;Acelerômetro; Proximidade; Impressão Digital
Núcleos;Octa Core
Velocidade (Clock);1.6 GHz
Chips;2 Chips
Tipo do Chip;Nano SIM Card
Altura (cm);15.2
Espessura (cm);0.8
Largura (cm);7.5
Peso (g);167.00
Marca;Samsung
Modelo;G610M
Nome Produto: ;Smartphone Samsung Galaxy A5 2017 Duos A520F Desbloqueado Dourado
Preco: ;R$ 1.449,90
Plataforma;Android
Versão;Android 6.0.1 Marshmallow
FPS da Gravação;30 Fps
Tamanho;5.2"
Resolução;1920 x 1080
Tipo;Super AMOLED
Número de Cores;16 milhões de cores
Memória Interna;32 GB
Memória RAM;3 GB
Memória Expansível;256 GB
Câmera;16 Megapixels
Resolução;4608 x 3456 pixels
Recursos;Autofocus; Detecção Facial; Estabilização de Imagem; HDR; Touch Focus; Zoom; Filtros
Câmera Frontal;16 Megapixels
Rede;4G; 3G; 2G
Conectividade;Bluetooth 4.2; Wi-Fi 802.11 a/b/g/n/ac; NFC; USB 2.0; GPS; A-GPS; GLONASS; Beidou
Tipo;Resistente à Água e Poeira (IP68)
Profundidade;1,5 metros na água, por 30 minutos
Capacidade;3.000 mAh
Removível;Não
Tipo;Íons de Lítio (Li-Ion)
Carregamento Sem Fio;Não
Sensores;Acelerômetro; Bússola; Giroscópio; Barômetro; Proximidade; Impressão Digital; Geo Magnético; Efeito Hall; Luz RGB; Luminosidade
TV Integrada;Não
Núcleos;Octa Core
Velocidade (Clock);1.9 GHz
Chips;2 Chips
Tipo do Chip;Nano SIM Card
Altura (cm);14.6
Espessura (cm);0.7
Largura (cm);7.1
Peso (g);157.00
Marca;Samsung
Modelo;SM-A520F
Nome Produto: ;Smartphone Samsung Galaxy J2 Prime TV G532MT Desbloqueado Preto
Preco: ;R$ 519,90
Plataforma;Android
Versão;Android 6.0 Marshmallow
Resolução;720p (16:9)
FPS da Gravação;30 Fps
Tamanho;5"
Resolução;960 x 540
Tipo;TFT; LCD
Número de Cores;16 milhões de cores
Memória Interna;8 GB
Memória RAM;1.5 GB
Memória Expansível;256 GB
Câmera;8 Megapixels
Recursos;Autofocus; Flash
Câmera Frontal;5 Megapixels
Rede;4G; 3G; 2G
Conectividade;Bluetooth 4.2; Wi-Fi 802.11 b/g/n; USB 2.0 (Micro-USB); Conexão P2 (3.5mm); GPS; GLONASS
Capacidade;2.600 mAh
Removível;Sim
Tipo;Íons de Lítio (Li-Ion)
Sensores;Acelerômetro; Proximidade
Núcleos;Quad Core
Velocidade (Clock);1.4 GHz
Chips;2 Chips
Tipo do Chip;Micro SIM Card
Altura (cm);14.5
Espessura (cm);0.9
Largura (cm);7.2
Peso (g);160.00
Marca;Samsung
Modelo;G532MT
Nome Produto: ;Smartphone Lenovo Vibe K6 32GB 4G Dual Desbloqueado Grafite
Preco: ;R$ 799,90
Plataforma;Android
Versão;Android 6.0 Marshmallow
Tamanho;5"
Resolução;1920 x 1080
Tipo;TFT; LCD
Número de Cores;16 milhões de cores
Memória Interna;32 GB
Memória RAM;2 GB
Memória Expansível;128 GB
Câmera;13 Megapixels
Recursos;Detecção Facial; Detecção de Sorriso; Estabilização de Imagem; Flash; HDR; Touch Focus; Zoom Digital
Câmera Frontal;8 Megapixels
Recursos;Autofocus
Rede;4G
Conectividade;Bluetooth; Bluetooth 3.0; Wi-Fi 802.11 b/g/n; USB 2.0 (Micro-USB); GPS; A-GPS; GLONASS
Capacidade;3.000 mAh
Removível;Sim
Tipo;Íons de Lítio (Li-Ion)
Sensores;Acelerômetro; Bússola; Giroscópio; Proximidade; Impressão Digital
Núcleos;Octa Core
Chips;2 Chips
Tipo do Chip;Micro SIM Card
Altura (cm);14.2
Espessura (cm);0.8
Largura (cm);7.1
Peso (g);180.00
Marca;Lenovo
Modelo;K33B36
Nome Produto: ;Smartphone Lenovo Vibe C2 16GB Dual K10A40 Desbloqueado Preto
Preco: ;R$ 499,90
Plataforma;Android
Versão;Android 6.0 Marshmallow
Resolução;720p (16:9)
Tamanho;5"
Resolução;1280 x 720
Tipo;IPS; LCD
Número de Cores;16 milhões de cores
Memória Interna;16 GB
Memória RAM;1 GB
Memória Expansível;32 GB
Câmera;8 Megapixels
Recursos;Flash; Zoom Digital
Câmera Frontal;5 Megapixels
Rede;4G; 3G; 2G
Conectividade;Bluetooth 3.0; Wi-Fi 802.11 b/g/n; USB 2.0 (Micro-USB); Conexão P2 (3.5mm)
Capacidade;2.750 mAh
Tipo;Íons de Lítio (Li-Ion)
Núcleos;Quad Core
Velocidade (Clock);1 GHz
GPU;MTK MT6735P
Chips;2 Chips
Tipo do Chip;Micro SIM Card
Altura (cm);14.3
Espessura (cm);0.8
Largura (cm);7.1
Peso (g);135.00
Marca;Lenovo
Modelo;K10A40
Nome Produto: ;Smartphone Alcatel Pixi 4 Colors 4" OT4034E Desbloqueado Preto
Preco: ;R$ 249,90
Plataforma;Android
Versão;Android 6.0 Marshmallow
Tamanho;4"
Resolução;800 x 480
Número de Cores;16 milhões de cores
Memória Interna;8 GB
Memória RAM;1 GB
Memória Expansível;32 GB
Câmera;8 Megapixels
Recursos;Flash
Câmera Frontal;5 Megapixels
Recursos;Flash
Rede;3G; 2G
Conectividade;Bluetooth; Wi-Fi
Capacidade;1.500 mAh
Núcleos;Quad Core
Velocidade (Clock);1.3 GHz
Chips;2 Chips
Altura (cm);12.1
Espessura (cm);1.0
Largura (cm);6.4
Peso (g);110.00
Marca;Alcatel
Modelo;OT4034E
Nome Produto: ;Smartphone Samsung Galaxy A7 2017 Duos A720F Desbloqueado Preto
Preco: ;R$ 1.649,90
Plataforma;Android
Versão;Android 6.0 Marshmallow
FPS da Gravação;30 Fps
Tamanho;5.7"
Resolução;1920 x 1080
Tipo;Super AMOLED
Número de Cores;16 milhões de cores
Memória Interna;32 GB
Memória RAM;3 GB
Memória Expansível;256 GB
Câmera;16 Megapixels
Resolução;3840 x 2160 pixels
Recursos;Autofocus; Detecção Facial; Estabilização de Imagem; Flash; HDR; Zoom; Filtros
Câmera Frontal;16 Megapixels
Rede;4G; 3G; 2G
Conectividade;Bluetooth 4.2; Wi-Fi 802.11 a/b/g/n/ac; NFC; USB 2.0; GPS; A-GPS; GLONASS; Beidou
Tipo;Resistente à Água e Poeira (IP68)
Profundidade;1,5 Metros na água, por 30 minutos
Capacidade;3.600 mAh
Removível;Não
Tipo;Íons de Lítio (Li-Ion)
Carregamento Sem Fio;Não
Sensores;Acelerômetro; Giroscópio; Proximidade; Barômetro; Proximidade; Impressão Digital; Geo Magnético; Efeito Hall; Luz RGB
TV Integrada;Não
Núcleos;Octa Core
Velocidade (Clock);1.9 GHz
Chips;2 Chips
Tipo do Chip;Nano SIM Card
Altura (cm);15.6
Espessura (cm);0.7
Largura (cm);7.7
Peso (g);186.00
Marca;Samsung
Modelo;SM-A720F
Nome Produto: ;Smartphone Motorola Moto G4 Play Colors 16GB XT1603 Desbloqueado Preto
Preco: ;R$ 649,90
Plataforma;Android
Versão;Android 6.0 Marshmallow
Resolução;1080p (16:9)
FPS da Gravação;30 Fps
Tamanho;5"
Resolução;1280 x 720
Tipo;TFT
Número de Cores;16 milhões de cores
Memória Interna;16 GB
Memória RAM;2 GB
Memória Expansível;128 GB
Câmera;8 Megapixels
Recursos;Flash; HDR; Zoom Digital; Panorama; Disparo Sequencial; Controle de Exposição
Câmera Frontal;5 Megapixels
Rede;4G; 3G; 2G
Conectividade;Bluetooth 4.1; Wi-Fi 802.11 b/g/n; USB 2.0 (Micro-USB); Conexão P2 (3.5mm); GPS; A-GPS; GLONASS
Tipo;Resistente à Respingos D'água
Capacidade;2.800 mAh
Tipo;Íons de Lítio (Li-Ion)
Sensores;Acelerômetro; Proximidade; Luz Ambiente
Núcleos;Quad Core
Velocidade (Clock);1.2 GHz
Modelo;Qualcomm Snapdragon 410 (MSM8916)
Chips;2 Chips
Tipo do Chip;Micro SIM Card
Altura (cm);14.4
Espessura (cm);1.0
Largura (cm);7.2
Peso (g);137.00
Marca;Motorola
Modelo;XT1603
Nome Produto: ;Smartphone Samsung Galaxy J5 Duos J500M Desbloqueado Dourado
Preco: ;R$ 639,90
Plataforma;Android
Versão;Android 5.1 Lollipop
Resolução;1080p (16:9)
FPS da Gravação;30fps
Tamanho;5"
Resolução;1280 x 720
Tipo;Super AMOLED
Número de Cores;16 milhões de cores
Memória Interna;16 GB
Memória RAM;1.5 GB
Memória Expansível;128 GB
Câmera;13 Megapixels
Resolução;4128 x 3096 pixels
Recursos;Autofocus; Flash
Câmera Frontal;5 Megapixels
Resolução;5 MP com Flash
Rede;4G; 3G; 2G
Conectividade;Bluetooth 4.1; Wi-Fi 802.11 b/g/n; USB 2.0 (Micro-USB); Conexão P2 (3.5mm); GPS; A-GPS
Capacidade;2.600 mAh
Núcleos;Quad Core
Velocidade (Clock);1.2 GHz
Modelo;Qualcomm MSM8916 Snapdragon 410
GPU;Adreno 306
Chips;2 Chips
Tipo do Chip;Micro SIM Card
Altura (cm);14.2
Espessura (cm);0.8
Largura (cm);7.2
Peso (g);146.00
Marca;Samsung
Modelo;J500M
Nome Produto: ;Smartphone Samsung Galaxy J7 Prime 4G G610M Desbloqueado Preto
Preco: ;R$ 1.059,90
Plataforma;Android
Versão;Android 6.0.1 Marshmallow
Resolução;1080p (16:9)
FPS da Gravação;30 Fps
Tamanho;5.5"
Resolução;1920 x 1080
Tipo;TFT; LCD
Número de Cores;16 milhões de cores
Memória Interna;32 GB
Memória RAM;3 GB
Memória Expansível;256 GB
Câmera;13 Megapixels
Recursos;Autofocus; Flash
