Nome Produto: ;Smartphone Samsung Galaxy S7 Dourado com 32GB, Tela 5.1", Android 6.0, 4G, Câmera 12MP e Processador Octa-Core
Preco: ;2.199,00
RAM;4GB
Sistema Operacional;Android 6.0 Marshmallow
Tipo;Barra
Tecnologia;GSM
;3G
;4G
Slot para cartão;MicroSD até 200GB
Cartão incluso;Não
Rádio FM;Não
MP3 player;Sim
Bluetooth;Sim
Bluetooth Estéreo (ouça suas músicas em um dispositivo Bluetooth);Não
Wi-Fi;Sim
Visualizador de arquivos;Sim
Suporte a GPS;Sim
Mensagens;SMS
;MMS
;E-mail
Toques;Polifônicos
;MP3
Processador;Octa-Core (Quad 2.3GHz + Quad 1.6GHz)
Formato de áudio;MP3
;Midi
;AMR
;AAC
;WMA
;WAV
;MP4
Resolução da câmera;Traseira 12MP e Frontal 5MP
Cor;Dourado
Grava vídeo;Sim
Memória interna;32 Total sendo uma parte usada para o sistema operacional e aplicativos pré-instalados (Software e aplicativos pré-instalados usam uma quantidade considerável de espaço de memória interna.)
Características Gerais;- Câmera Dual Pixel de 12MP (traseira) e 5MP (frontal) e abertura f/1.7 - Acabamento em metal e vidro 3D, com tela de 5.1" - Processador Octa-Core 2.3GHz + 1.6GHz - Proteção IP68 (Resistente a água e poeira) - Suporte a cartão de memória de até 200GB - API Vulkan para melhor performance gráfica em jogos - Capacidade da Bateria: 3000 mAh
Quadriband GSM;Sim
Frequências;GSM 850/900/1800/1900 MHz
Câmera traseira;Sim
Câmera frontal;Sim
Tipo do Chip;Nano SIM
Conectividade;USB 2.0, Bluetooth 4.2, Wi-Fi 802.11 a/b/g/n/ac 2.4G+5GHz, VHT80 MU-MIMO, NFC
Resolução do visor/display (pixels);2560 x 1440 (Quad HD)
Tamanho do visor (cm);12,9
Conteúdo da Embalagem;- Aparelho Smartphone Samsung Galaxy S7 SM-G930F - Dourado - Carregador - Bateria - Cabo USB - Fone de Ouvido
Garantia;12 Meses
Observações;1.Para utilizar este celular é preciso ter um chip (vendido separadamente). Este aparelho está habilitado para que funcione com operadoras nacionais com Tecnologia GSM, WCDMA e 4G (LTE) (Vivo, Oi, Tim, Claro, Brasil Telecom, CTBC, Sercomtel, Telemig). 2.O desempenho da bateria pode variar dependendo de diversos fatores como: configuração do celular, da rede, potência do sinal e temperatura de operação. 3.A capacidade atual disponível da memória interna é menor que a capacidade especificada (32GB), devido ao sistema operacional e às aplicações padrões que já vem instaladas no aparelho, ocupando parte da memória. A capacidade disponível pode variar ao atualizar o telefone. ATENÇÃO: A rede 4G no Brasil é limitada. Consulte uma operadora de telefonia móvel para obter informações de pacotes de dados e cidades de cobertura.
Altura;14,20 Centimetros
Largura;6,90 Centimetros
Profundidade;7,90 Milimetros
Peso;152,00 Gramas
E-mail/Site:;4004-0000 - capitais e grandes centros, 0800-124-421 demais cidades e regiões



Nome Produto: ;Smartphone Samsung Galaxy J7 Duos Dourado com Dual chip, Tela 5.5", 4G, Câmera 13MP, Android 5.1 e Processador Octa Core de 1.5 Ghz
Preco: ;899,00
RAM;1.5 GB
Sistema Operacional;Android 5.1 Lollipop
Tipo;Barra
Tecnologia;GSM
;3G
;4G
Slot para cartão;MicroSD até 128GB
Cartão incluso;Não
Rádio FM;Sim
MP3 player;Sim
Bluetooth;Sim
Bluetooth Estéreo (ouça suas músicas em um dispositivo Bluetooth);Não
Wi-Fi;Sim
Visualizador de arquivos;Sim
Suporte a GPS;Sim
Mensagens;SMS
;MMS
;E-mail
Toques;Polifônicos
;MP3
Processador;Octa Core de 1.5 Ghz
Som;Rádio FM
;MP3 Player
Resolução da câmera;Traseira 13MP e Frontal 5MP
Cor;Dourado
Grava vídeo;Sim
Memória interna;16GB Total sendo uma parte usada para o sistema operacional e aplicativos pré-instalados
Características Gerais;Ideal para Selfies -Tire selfies de alta qualidade com a câmera frontal de 5MP e também registre os melhores momentos com a câmera principal de 13MP.(ambas com Flash Frontal e Traseira). Processador Octa Core de 1.5 Ghz -Use vários aplicativos ao mesmo tempo com o processador Octa Core de 1.5GHz e não perca agilidade. Tela de 5.5” Super Amoled -Veja vídeos, edite fotos e navegue pelas redes sociais em um display com tamanho ideal para você. A melhor experiência Dual Chip -O Samsung Galaxy J7 Duos suporta 2 Chips no mesmo aparelho. Aproveite o dobro de vantagens, promoções e descontos com os serviços de até duas operadoras de telefonia diferentes. Capacidade da Bateria 3000 (mAh) -A bateria do Galaxy J7 foi projetada para que você possa usar seu telefone sem preocupações.
Quadriband GSM;Sim
Câmera traseira;Sim
Frequências;GSM 850/900/1800/1900 MHz
Câmera frontal;Sim
Tipo do Chip;Micro SIM
Dual Chip;sim
Conectividade;USB 2.0, Bluetooth 4.0, Wi-Fi 802.11 b/g/n
Resolução do visor/display (pixels);720 x 1280 (HD)
Tamanho do visor (cm);13,9
Conteúdo da Embalagem;- Aparelho Smartphone Samsung Galaxy J7 Duos SM-J700M/DS - Carregador - Fone de ouvido - Cabo USB
Garantia;12 meses
Observações;1.Para utilizar este celular é preciso ter um chip (vendido separadamente). Este aparelho está habilitado para que funcione com operadoras nacionais com Tecnologia GSM, WCDMA e 4G (LTE) (Vivo, Oi, Tim, Claro, Brasil Telecom, CTBC, Sercomtel, Telemig). 2.Este é um celular Dual Chip, ou seja, funciona com dois chips no mesmo aparelho. 3.O desempenho da bateria pode variar dependendo de diversos fatores como: configuração do celular, da rede, potência do sinal e temperatura de operação. 4. A capacidade de memória interna ROM (Read-Only Memory) disponível ao usuário é menor que a capacidade especificada (16GB), devido ao sistema operacional e às aplicações padrões que já vem instaladas no aparelho, ocupando parte da memória. A capacidade disponível pode variar ao atualizar o aparelho. ATENÇÃO: A rede 4G no Brasil é limitada. Consulte uma operadora de telefonia móvel para obter informações de pacotes de dados e cidades de cobertura.
Altura;15,22 Centimetros
Largura;7,60 Centimetros
Profundidade;7,50 Milimetros
Peso;145,00 Gramas
E-mail/Site:;4004-0000 - capitais e grandes centros, 0800-124-421 demais cidades e regiões



