Nome Produto: ;Smartphone Alcatel One Touch Pixi 4 Dual Chip 3G Wi-Fi Tela 6.0" Câmera 13MP 24GB Preto
Preco: ;Por: R$ 659,00
Tecnologia:;3G
Tecnologia 3G:;Sim, 850/900/1900/2100
Tamanho (mm):;165 x 87 x 7.9 mm
Tela:;6.0" 960x540
Memória Interna:;24GB
Conexão Wi-Fi:;Sim
Conexão Bluetooth:;Sim
USB:;Sim
Sistema Operacional:;Não disponível
Câmera Principal:;Câmera Principal: 13MP Câmera Frontal: 8MP (ambas com flash)
GPS:;Sim
TV Digital:;Não
Bateria Tipo/Stand-by/Convers:;2600mAh Tempos de conversação: Até 15 horas Tempo de espera: Até 540 horas
Garantia:;12 meses
Conteúdo da Embalagem:;- 1 Aparelho - Bateria - Carregador - Manual do usuário - Fone de ouvido - Acompanha 1 capa de bateria na cor preta
Processador:;Quad Core 1.2Ghz
Memória Ram:;
NFC:;



Nome Produto: ;Smartphone Motorola Moto G 4ª Geração Plus Dual Chip Android 6.0 Tela 5.5" 32GB 4G Câmera 16MP Bambu
Preco: ;Por: R$ 1.299,00
Tecnologia:;Sim
Tecnologia 3G:;3G e 4G
Tamanho (mm):;152,9 x 76,5 x 7,0
Tela:;5.5" / Full HD - 1920x1080
Memória Interna:;32GB
Conexão Wi-Fi:;Sim
Conexão Bluetooth:;Bluetooth® 4.1
USB:;Micro USB v2.0
Sistema Operacional:;Android 6.0 Marshmallow
Câmera Principal:;Câmera Principal: 16MP Câmera Frontal: 5MP
GPS:;- GPS - Glonass - Beidou
TV Digital:;Não
Bateria Tipo/Stand-by/Convers:;3000 mAh
Garantia:;12 meses
Conteúdo da Embalagem:;- 01 Telefone Branco 32GB c/ capa Bambu - 01 Carregador de Parede Turbopower 15W - 01 Cabo sincronização - 01 Fone de ouvido Estereo
Processador:;Octa-core 4 x 1.5 GHz + 4 x 1.2 GHz
Memória Ram:;
NFC:;



Nome Produto: ;Smartphone Alcatel One Touch Pixi 4 Dual Chip 3G Wi-Fi Tela 6.0" Câmera 13MP 24GB Preto
Preco: ;Por: R$ 659,00
Tecnologia:;3G
Tecnologia 3G:;Sim, 850/900/1900/2100
Tamanho (mm):;165 x 87 x 7.9 mm
Tela:;6.0" 960x540
Memória Interna:;24GB
Conexão Wi-Fi:;Sim
Conexão Bluetooth:;Sim
USB:;Sim
Sistema Operacional:;Não disponível
Câmera Principal:;Câmera Principal: 13MP Câmera Frontal: 8MP (ambas com flash)
GPS:;Sim
TV Digital:;Não
Bateria Tipo/Stand-by/Convers:;2600mAh Tempos de conversação: Até 15 horas Tempo de espera: Até 540 horas
Garantia:;12 meses
Conteúdo da Embalagem:;- 1 Aparelho - Bateria - Carregador - Manual do usuário - Fone de ouvido - Acompanha 1 capa de bateria na cor preta
Processador:;Quad Core 1.2Ghz
Memória Ram:;
NFC:;



Nome Produto: ;Smartphone Motorola Moto G 4ª Geração Plus Dual Chip Android 6.0 Tela 5.5" 32GB 4G Câmera 16MP Bambu
Preco: ;Por: R$ 1.299,00
Tecnologia:;Sim
Tecnologia 3G:;3G e 4G
Tamanho (mm):;152,9 x 76,5 x 7,0
Tela:;5.5" / Full HD - 1920x1080
Memória Interna:;32GB
Conexão Wi-Fi:;Sim
Conexão Bluetooth:;Bluetooth® 4.1
USB:;Micro USB v2.0
Sistema Operacional:;Android 6.0 Marshmallow
Câmera Principal:;Câmera Principal: 16MP Câmera Frontal: 5MP
GPS:;- GPS - Glonass - Beidou
TV Digital:;Não
Bateria Tipo/Stand-by/Convers:;3000 mAh
Garantia:;12 meses
Conteúdo da Embalagem:;- 01 Telefone Branco 32GB c/ capa Bambu - 01 Carregador de Parede Turbopower 15W - 01 Cabo sincronização - 01 Fone de ouvido Estereo
Processador:;Octa-core 4 x 1.5 GHz + 4 x 1.2 GHz
Memória Ram:;
NFC:;



Nome Produto: ;Smartphone Alcatel PIXI 4 4034E Metal Dual Chip Android 6.0 Tela 4" 8GB 3G Câmera 8MP
Preco: ;Por: R$ 349,00
Tecnologia:;3G
Tecnologia 3G:;Sim
