Nome Produto: ;Smartphone Samsung Galaxy J7 Duos Dual Chip Android 5.1 Tela 5.5" 16GB 4G Câmera 13MP - Dourado
Preco: ;R$ 899,00
Código: ;124196148
Código de barras: ;7892509079815, 7892509079952
Marca: ;Samsung
Modelo: ;Galaxy J7 Duos
Cor: ;Dourado
Tipo de Chip: ;Micro Chip
Quantidade de Chips: ;Dual Chip
Memória Interna: ;16GB
Memória RAM: ;1.5GB
Processador: ;Qualcomm® Snapdragon¿ 415 Mobile Platform Octa-core 4x1.2 GHz
Sistema Operacional: ;Android
Versão: ;5.1 Lollipop
Tipo de tela: ;Super AMOLED
Tamanho do Display: ;5.5"
Resolução: ;720x1280
Câmera traseira: ;13MP
Câmera frontal: ;5MP
Filmadora: ;Full HD
Expansivo até: ;MicroSD Até 128 GB
Alimentação/Tipo de bateria: ;Íons de Lítio 3000 mAh
Banda: ;GSM: GSM850, GSM900, DCS1800, PCS1900; 3G: B1(2100), B2(1900), B4(AWS), B5(850), B8(900); 4G: B1(2100), B2(1900), B3(1800), B4(AWS), B5(850), B7(2600), B17(700), B28(700)
Conectividade: ;4G
NFC: ;Não
TV: ;Não
Conteúdo da Embalagem: ;Aparelho; Bateria; Carregador; Fone de ouvido; Cabo USB
Dimensões aproximadas do produto - cm (AxLxP): ;15,2x7,6x0,7cm
Peso líq. aproximado do produto (kg): ;145g
Garantia do Fornecedor: ;12 meses
Referência do modelo: ;SM-J700MZDDZTO
Fornecedor: ;Samsung
SAC: ;São Paulo 4004-0000 ou para outros Estados 0800 124 421



Nome Produto: ;Smartphone Moto G 5 Dual Chip Android 7.0 Tela 5" 32GB 4G Câmera 13MP - Ouro
Preco: ;R$ 999,00
Código: ;131349667
Código de barras: ;7892597339969
Marca: ;Motorola
Modelo: ;XT1672
Cor: ;Ouro
Tipo de Chip: ;Nano Chip
Quantidade de Chips: ;Dual Chip
Memória Interna: ;32GB
Memória RAM: ;2GB
Processador: ;Qualcomm® Snapdragon¿ 430 Mobile Platform Octa-core 1.4 GHz
Sistema Operacional: ;Android
Versão: ;Nougat 7.0
Tipo de tela: ;LCD TFT
Tamanho do Display: ;5"
Resolução: ;Full HD - 1920x1080
Câmera traseira: ;13MP
Câmera frontal: ;5MP
Filmadora: ;Full HD
Expansivo até: ;MicroSD até 128GB
Alimentação/Tipo de bateria: ;2800 mAh
Banda: ;GSM 850/900/1800/1900 MHz; WCDMA 850/900/2100 MHz; LTE B1(2100), B3(1800), B5(850), B7(2600), B28(700)
Conectividade: ;Wi-Fi, 3G, 4G
NFC: ;Não
TV: ;Não
Recursos de Chamada: ;Viva Voz, Espera de Chamada
Conteúdo da Embalagem: ;1 Telefone 32GB Ouro, 1 kit de manuais, 1 cabo de sincronização, 1 fone de ouvido estéreo, 1 carregador de parede, 1 capa traseira Ouro e 1 bateria
Dimensões aproximadas do produto - cm (AxLxP): ;14,4x7,2x0,8cm
Peso líq. aproximado do produto (kg): ;151g
Garantia do Fornecedor: ;12 Meses
Referência do modelo: ;XT1672
Fornecedor: ;Motorola
SAC: ;0800 773-1244



Nome Produto: ;Smartphone Samsung Galaxy J7 Prime Dual Chip Android Tela 5.5" 32GB 4G Câmera 13MP - Preto
Preco: ;R$ 1.249,99
Código: ;129542708
Código de barras: ;7892509089883, 7892509089920
Marca: ;Samsung
Modelo: ;SM-G610M
Cor: ;Preto
Tipo de Chip: ;Nano Chip
Quantidade de Chips: ;Dual Chip
Memória Interna: ;32GB
Memória RAM: ;3GB
Processador: ;Octa- Core 1.6 GHz
Sistema Operacional: ;Android
Versão: ;Android 6.0
Tipo de tela: ;LCD TFT
Tamanho do Display: ;5.5"
Resolução: ;1920x1080 (Full HD)
Câmera traseira: ;13MP
