Nome Produto: ;Smartphone Samsung Galaxy J7 Prime Dual Chip Android Tela 5.5" 32GB 4G Câmera 13MP - Dourado
Preco: ;R$ 1.249,00
Código: ;129543938
Código de barras: ;7892509089913, 7892509089876
Marca: ;Samsung
Modelo: ;SM-G610M
Cor: ;Dourado
Tipo de Chip: ;Nano Chip
Quantidade de Chips: ;Dual Chip
Memória Interna: ;32GB
Memória RAM: ;3GB
Processador: ;Octa Core 1.6 GHz
Sistema Operacional: ;Android
Versão: ;Android 6.0
Tipo de tela: ;LCD TFT
Tamanho do Display: ;5.5"
Resolução: ;1920x1080 (Full HD)
Câmera traseira: ;13MP
Câmera frontal: ;8MP
Filmadora: ;Full HD
Expansivo até: ;MicroSD até 200GB
Alimentação/Tipo de bateria: ;Bateria de Ions de Lítio de 3300 mAh
Banda: ;2G GSM (GPRS/EDGE) 850/900/1800/1900 3G Bandas B1(2100),B2(1900),B4(AWS),B5(850),B8(900) 3G Downlink / Uplink HSPA+ 42.2 / 5.76 Mbps 4G Bandas B1(2100),B2(1900),B3(1800),B4(AWS),B5(850),B7(2600),B8(900),B17(700),B28(700) 4G categoria Cat. 4 4G velocidade 150/50Mbps
Conectividade: ;Wi-Fi, 3G, 4G
NFC: ;Não
TV: ;Não
Recursos de Chamada: ;Espera de Chamada, Viva Voz
Outros Recursos: ;1.Design sofisticado com corpo de metal de alta resistência / 2.Maior segurança e praticidade com o Leitor de Impressão Digital / 3.Rápido e potente com processador Octa Core, 3GB de RAM e 32GB de memória interna / 4.Fotos claras com cores vivas com a câmera traseira 13MP f1.9 e selfies incríveis com a frontal de 8MP f1.9 com flash LED
Conteúdo da Embalagem: ;1 Aparelho, 1 Carregador, 1 Cabos de Dados, 1 Fone de ouvido
Dimensões aproximadas do produto - cm (AxLxP): ;15,1x7,5x0,8cm
Peso líq. aproximado do produto (kg): ;167g
Garantia do Fornecedor: ;12 Meses
Referência do modelo: ;J7 Prime
Fornecedor: ;Samsung
SAC: ;São Paulo: 4004 0000 e outros estados: 0800 124 421



Nome Produto: ;Smartphone LG K10 Dual Chip Android 6.0 Marshmallow Tela 5.3" 16GB 4G Câmera 13MP TV Digital - Branco
Preco: ;R$ 698,00
Código: ;125533530
Código de barras: ;7893299906138
Marca: ;LG
Modelo: ;LG K10 TV
Cor: ;Branco
Tipo de Chip: ;Nano Chip
Quantidade de Chips: ;Dual Chip
Memória Interna: ;16GB
Memória RAM: ;1GB
Processador: ;Octa Core 1.14Ghz - Mediatek MT6753
Sistema Operacional: ;Android
Versão: ;6.0 - Marshmallow
Tipo de tela: ;LCD IPS
Tamanho do Display: ;5.3"
Resolução: ;1280x720
Câmera traseira: ;13MP
Câmera frontal: ;8MP
Filmadora: ;Full HD
Expansivo até: ;MicroSD até 32GB
Alimentação/Tipo de bateria: ;2220 mAh
Banda: ;Quadri-Band
Conectividade: ;Wi-Fi, 4G
NFC: ;Não
TV: ;Digital
Recursos de Chamada: ;Viva Voz
Outros Recursos: ;SMS; MMS; Bluetooth 4.0; Conexão USB; Wi-Fi 802.11 b/g/n; Função Modem; Youtube; Google Maps; Hangouts; Play Books; Alarme; Calculadora; Cronômetro; Calendário; Horário Mundial; Visualização (Word, Excel, PPT, PDF); E-mail (POP3/IMAP4/SMTP/Exchange); A-GPS; Viva voz; Chamada em espera; Discagem rápida; Registro de chamadas; Chamada por comando de voz; Alerta vibratório; Gravador de voz; Sintonizador de TV
Conteúdo da Embalagem: ;1 Aparelho; 1 Bateria; 1 Fone de Ouvido; 1 Carregador de Viagem; 1 Manual; 1 adaptador de TV LG
Dimensões aproximadas do produto - cm (AxLxP): ;14,6x7,4x0,8cm
Peso líq. aproximado do produto (kg): ;153g
Garantia do Fornecedor: ;12 meses
Referência do modelo: ;LGK430TV.ABRAKU
Fornecedor: ;LG
SAC: ;0800 707 54 54  ou 4004-5400



Nome Produto: ;Smartphone Motorola Moto Z Style Dual Chip Android 6.0.1 Tela 5.5" 64GB 4G Câmera 13MP - Preto
Preco: ;R$ 1.799,99
Código: ;129648238
Código de barras: ;7892597340286
Marca: ;Motorola
Modelo: ;Moto Z
Cor: ;Preto
Tipo de Chip: ;Nano Chip
Quantidade de Chips: ;Dual Chip
Memória Interna: ;64GB
Memória RAM: ;4GB
Processador: ;Quad-core Qualcomm Snapdragon 820 (MSM8996)
Sistema Operacional: ;Android
Versão: ;Android Marshmallow 6.0.1
Tipo de tela: ;OLED
Tamanho do Display: ;5.5"
Resolução: ;QuadHD - 1440x2560
Câmera traseira: ;13MP
Câmera frontal: ;5MP
Filmadora: ;4K
Expansivo até: ;MicroSD até 2TB
Alimentação/Tipo de bateria: ;2600 mAh
Banda: ;"GSM 850/900/1800/1900 MHz WCDMA 850/900/1700/1900/2100 MHz LTE B1(2100), B2(1900), B3(1800), B4(1700), B5(850), B7(2600), B8(900), B12(700), B17(700), B19(800), B20(800), B25(1900), B28(700), B38(2600), B40(2300), B41(2600)"
Conectividade: ;4G
NFC: ;Sim
TV: ;Não
Recursos de Chamada: ;Viva Voz
Conteúdo da Embalagem: ;1 Smartphone; 1 Carregador de Parede; 1 Adaptador de Fone de Ouvido; 1 Cabo de Sincronização; 1 Ferramenta de Remoção do SIM; 1 Style Shell; 1 Bumper Transparente e Manual de Instruções
Dimensões aproximadas do produto - cm (AxLxP): ;14,1x0,9x1,16cm
Peso líq. aproximado do produto (kg): ;134g
Garantia do Fornecedor: ;12 meses
Referência do modelo: ;XT1650-03/Preto
Fornecedor: ;XT1650-03/Preto
SAC: ;(11) 4002-1244 ou 0800 773 12 44



Nome Produto: ;Smartphone Samsung Galaxy J7 Duos Dual Chip Android 5.1 Tela 5.5" 16GB 4G Câmera 13MP - Branco
Preco: ;R$ 799,99
Código: ;124196105
Código de barras: ;7892509079839, 7892509079976
Marca: ;Samsung
Modelo: ;Galaxy J7 Duos
Cor: ;Branco
Tipo de Chip: ;Micro Chip
Quantidade de Chips: ;Dual Chip
Memória Interna: ;16GB
Memória RAM: ;1.5GB
Processador: ;Octa Core 1.5 Ghz (Quad 1.7 + Quad 1.0)
Sistema Operacional: ;Android
Versão: ;5.1
Tipo de tela: ;Super AMOLED
Tamanho do Display: ;5.5"
Resolução: ;1280x720
Câmera traseira: ;13MP
Câmera frontal: ;5MP
Filmadora: ;Full HD
Expansivo até: ;MicroSD Até 128 GB
Alimentação/Tipo de bateria: ;Íons de Lítio 3000 mAh
Banda: ;GSM: GSM850, GSM900, DCS1800, PCS1900; 3G: B1(2100), B2(1900), B4(AWS), B5(850), B8(900); 4G: B1(2100), B2(1900), B3(1800), B4(AWS), B5(850), B7(2600), B17(700), B28(700)
Conectividade: ;4G
NFC: ;Não
TV: ;Não
Conteúdo da Embalagem: ;Aparelho; Bateria; Carregador; Fone de ouvido; Cabo USB
